Degree Name,Grad Year,ScriptNotes,Academic Unit,Unit URI,Final URI,Comment
Education,1992,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,
Education,1993,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,1994,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,1995,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,1996,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,1997,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,1998,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,1999,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,2000,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,2001,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,2002,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,2003,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,,,http://opaquenamespace.org/ns/osuAcademicUnits/CqMv034T,
Education,2004,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2005,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2006,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2007,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2008,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2009,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2010,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2011,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2012,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2013,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2014,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2015,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2016,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Education,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/dBqHoogP,,
Educational Foundations,1987,http://opaquenamespace.org/ns/osuAcademicUnits/o2UkvnmD,,,http://opaquenamespace.org/ns/osuAcademicUnits/o2UkvnmD,
Educational Foundations,1988,http://opaquenamespace.org/ns/osuAcademicUnits/o2UkvnmD,,,http://opaquenamespace.org/ns/osuAcademicUnits/o2UkvnmD,
Educational Foundations,1990,http://opaquenamespace.org/ns/osuAcademicUnits/o2UkvnmD,,,http://opaquenamespace.org/ns/osuAcademicUnits/o2UkvnmD,
Educational Foundations,1994,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Education,http://opaquenamespace.org/ns/osuAcademicUnits/rbHHOWpA,,
Educational Psychology,1933,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Educational Psychology,1950,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Educational Psychology,1951,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Electical and Computer Engineering,2010,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electric and Computer Engineering,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical & Computer Engineering,2015,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering, ,MISSING GRADUATION YEAR,,,,
Electrical and Computer Engineering,1973,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1974,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1975,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1976,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1977,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1978,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1979,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1980,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1981,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1982,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1983,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1984,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1985,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1986,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1987,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1988,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1989,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1990,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1991,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1992,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1993,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1994,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1995,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1996,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1997,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1998,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,1999,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,2000,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,2001,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,2002,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,2003,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,,,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical and Computer Engineering,2004,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2005,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2006,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2007,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2008,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2009,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2010,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2011,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2012,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2013,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2014,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical And Computer Engineering,2014,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2015,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical And Computer Engineering,2015,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2016,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Engineering.,2006,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Science,2010,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Science,2012,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Computer Science,2016,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering and Computer Science,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,http://opaquenamespace.org/ns/osuAcademicUnits/ikL2Q5ZX,
Electrical and Electronics Engineering,1966,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,,,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,
Electrical and Electronics Engineering,1967,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,,,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,
Electrical and Electronics Engineering,1968,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,,,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,
Electrical and Electronics Engineering,1969,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,,,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,
Electrical and Electronics Engineering,1970,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,,,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,
Electrical and Electronics Engineering,1971,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,,,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,
Electrical and Electronics Engineering,1972,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,,,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,
Electrical and Electronics Engineering,1973,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,,,http://opaquenamespace.org/ns/osuAcademicUnits/kpZzpJEE,
Electrical and Electronics Engineering,1974,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical and Computer Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,http://opaquenamespace.org/ns/osuAcademicUnits/evmqke4i,
Electrical communications,1952,NO URIS FOUND FOR THIS DEGREE AND YEAR,Electrical Engineering,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1907,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1908,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1909,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1910,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1911,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1912,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1913,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1926,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1931,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1932,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1934,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1935,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1939,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1941,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1942,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1943,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1946,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1947,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1948,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1949,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1950,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1951,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1952,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1953,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1954,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1955,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1956,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1958,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1959,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1960,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1961,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
Electrical Engineering,1962,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,,,http://opaquenamespace.org/ns/osuAcademicUnits/iUkoFZrY,
